Iter 360/915 took 2.73 seconds
Iter 361/915 took 2.82 seconds
Iter 362/915 took 2.69 seconds
Iter 363/915 took 2.68 seconds
Iter 364/915 took 2.65 seconds
Iter 365/915 took 2.91 seconds
Iter 366/915 took 2.79 seconds
Iter 367/915 took 2.82 seconds
Iter 368/915 took 2.74 seconds
Iter 369/915 took 2.72 seconds
Iter 370/915 took 2.69 seconds
Iter 371/915 took 2.77 seconds
Iter 372/915 took 2.71 seconds
Iter 373/915 took 2.67 seconds
Iter 374/915 took 2.67 seconds
Iter 375/915 took 2.69 seconds
Iter 376/915 took 2.74 seconds
Iter 377/915 took 2.69 seconds
Iter 378/915 took 2.66 seconds
Iter 379/915 took 2.73 seconds
Iter 380/915 took 2.77 seconds
Iter 381/915 took 2.64 seconds
Iter 382/915 took 2.60 seconds
Iter 383/915 took 2.68 seconds
Iter 384/915 took 2.72 seconds
Iter 385/915 took 2.55 seconds
Iter 386/915 took 2.63 seconds
Iter 387/915 took 2.67 seconds
Iter 388/915 took 2.68 seconds
Iter 389/915 took 2.60 seconds
Iter 390/915 took 2.60 seconds
Iter 391/915 took 2.70 seconds
Iter 392/915 took 2.68 seconds
Iter 393/915 took 2.70 seconds
Iter 394/915 took 2.70 seconds
Iter 395/915 took 2.65 seconds
Iter 396/915 took 2.71 seconds
Iter 397/915 took 2.71 seconds
Iter 398/915 took 2.73 seconds
Iter 399/915 took 2.76 seconds
Iter 400/915 took 2.87 seconds
Iter 401/915 took 2.81 seconds
Iter 402/915 took 2.73 seconds
Iter 403/915 took 2.76 seconds
Iter 404/915 took 3.01 seconds
Iter 405/915 took 2.75 seconds
Iter 406/915 took 2.82 seconds
Iter 407/915 took 2.80 seconds
Iter 408/915 took 2.71 seconds
Iter 409/915 took 2.66 seconds
Iter 410/915 took 2.62 seconds
Iter 411/915 took 2.62 seconds
Iter 412/915 took 2.62 seconds
Iter 413/915 took 2.68 seconds
Iter 414/915 took 2.67 seconds
Iter 415/915 took 2.68 seconds
Iter 416/915 took 2.60 seconds
Iter 417/915 took 2.59 seconds
Iter 418/915 took 2.63 seconds
Iter 419/915 took 2.56 seconds
Iter 420/915 took 2.59 seconds
Iter 421/915 took 2.65 seconds
Iter 422/915 took 2.62 seconds
Iter 423/915 took 2.63 seconds
Iter 424/915 took 2.66 seconds
Iter 425/915 took 2.79 seconds
Iter 426/915 took 2.67 seconds
Iter 427/915 took 2.82 seconds
Iter 428/915 took 2.72 seconds
Iter 429/915 took 2.70 seconds
Iter 430/915 took 2.83 seconds
Iter 431/915 took 2.85 seconds
Iter 432/915 took 2.83 seconds
Iter 433/915 took 2.71 seconds
Iter 434/915 took 2.80 seconds
Iter 435/915 took 2.78 seconds
Iter 436/915 took 2.71 seconds
Iter 437/915 took 2.67 seconds
Iter 438/915 took 2.73 seconds
Iter 439/915 took 2.68 seconds
Iter 440/915 took 2.72 seconds
Iter 441/915 took 2.66 seconds
Iter 442/915 took 2.80 seconds
Iter 443/915 took 2.92 seconds
Iter 444/915 took 2.78 seconds
Iter 445/915 took 2.84 seconds
Iter 446/915 took 2.86 seconds
Iter 447/915 took 2.80 seconds
Iter 448/915 took 2.76 seconds
Iter 449/915 took 2.70 seconds
Iter 450/915 took 2.76 seconds
Iter 451/915 took 2.71 seconds
Iter 452/915 took 2.62 seconds
Iter 453/915 took 2.67 seconds
Iter 454/915 took 2.67 seconds
Iter 455/915 took 2.65 seconds
Iter 456/915 took 2.60 seconds
Iter 457/915 took 2.59 seconds
Iter 458/915 took 2.63 seconds
checkpoint saved to /home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_024_v5_action_envelope_75deg_from_loop020_25m/level3_loop_024_v5_action_envelope_75deg_from_loop020_25m_step_015000000.ckpt at global_step=15007744
Iter 459/915 took 2.65 seconds
Iter 460/915 took 2.61 seconds
Iter 461/915 took 2.61 seconds
Iter 462/915 took 2.58 seconds
Iter 463/915 took 2.65 seconds
Iter 464/915 took 2.67 seconds
Iter 465/915 took 2.72 seconds
Iter 466/915 took 2.68 seconds
Iter 467/915 took 2.69 seconds
Iter 468/915 took 2.68 seconds
Iter 469/915 took 2.69 seconds
Iter 470/915 took 2.80 seconds
Iter 471/915 took 2.77 seconds
Iter 472/915 took 2.81 seconds
Iter 473/915 took 2.68 seconds
Iter 474/915 took 2.73 seconds
Iter 475/915 took 2.75 seconds
Iter 476/915 took 2.74 seconds
Iter 477/915 took 2.88 seconds
