Iter 403/2441 took 2.39 seconds
Iter 404/2441 took 2.32 seconds
Iter 405/2441 took 2.39 seconds
Iter 406/2441 took 2.33 seconds
Iter 407/2441 took 2.42 seconds
Iter 408/2441 took 2.29 seconds
Iter 409/2441 took 2.37 seconds
Iter 410/2441 took 2.34 seconds
Iter 411/2441 took 2.34 seconds
Iter 412/2441 took 2.35 seconds
Iter 413/2441 took 2.40 seconds
Iter 414/2441 took 2.34 seconds
Iter 415/2441 took 2.34 seconds
Iter 416/2441 took 2.33 seconds
Iter 417/2441 took 2.35 seconds
Iter 418/2441 took 2.38 seconds
Iter 419/2441 took 2.39 seconds
Iter 420/2441 took 2.41 seconds
Iter 421/2441 took 2.34 seconds
Iter 422/2441 took 2.38 seconds
Iter 423/2441 took 2.34 seconds
Iter 424/2441 took 2.35 seconds
Iter 425/2441 took 2.33 seconds
Iter 426/2441 took 2.34 seconds
Iter 427/2441 took 2.46 seconds
Iter 428/2441 took 2.35 seconds
Iter 429/2441 took 2.33 seconds
Iter 430/2441 took 2.43 seconds
Iter 431/2441 took 2.33 seconds
Iter 432/2441 took 2.35 seconds
Iter 433/2441 took 2.36 seconds
Iter 434/2441 took 2.32 seconds
Iter 435/2441 took 2.45 seconds
Iter 436/2441 took 2.37 seconds
Iter 437/2441 took 2.34 seconds
Iter 438/2441 took 2.33 seconds
Iter 439/2441 took 2.33 seconds
Iter 440/2441 took 2.33 seconds
Iter 441/2441 took 2.46 seconds
Iter 442/2441 took 2.36 seconds
Iter 443/2441 took 2.34 seconds
Iter 444/2441 took 2.29 seconds
Iter 445/2441 took 2.36 seconds
Iter 446/2441 took 2.40 seconds
Iter 447/2441 took 2.36 seconds
Iter 448/2441 took 2.39 seconds
Iter 449/2441 took 2.32 seconds
Iter 450/2441 took 2.35 seconds
Iter 451/2441 took 2.47 seconds
Iter 452/2441 took 2.47 seconds
Iter 453/2441 took 2.33 seconds
Iter 454/2441 took 2.32 seconds
Iter 455/2441 took 2.31 seconds
Iter 456/2441 took 2.51 seconds
Iter 457/2441 took 2.42 seconds
Iter 458/2441 took 2.37 seconds
checkpoint saved to /home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_004_gate_acquisition_safety/level3_loop_004_gate_acquisition_safety_step_015000000.ckpt at global_step=15007744
Iter 459/2441 took 2.32 seconds
Iter 460/2441 took 2.36 seconds
Iter 461/2441 took 2.34 seconds
Iter 462/2441 took 2.38 seconds
Iter 463/2441 took 2.33 seconds
Iter 464/2441 took 2.36 seconds
Iter 465/2441 took 2.40 seconds
Iter 466/2441 took 2.42 seconds
Iter 467/2441 took 2.44 seconds
Iter 468/2441 took 2.39 seconds
Iter 469/2441 took 2.37 seconds
Iter 470/2441 took 2.40 seconds
Iter 471/2441 took 2.44 seconds
Iter 472/2441 took 2.42 seconds
Iter 473/2441 took 2.35 seconds
Iter 474/2441 took 2.36 seconds
Iter 475/2441 took 2.36 seconds
Iter 476/2441 took 2.41 seconds
Iter 477/2441 took 2.37 seconds
Iter 478/2441 took 2.30 seconds
Iter 479/2441 took 2.36 seconds
Iter 480/2441 took 2.35 seconds
Iter 481/2441 took 2.34 seconds
Iter 482/2441 took 2.39 seconds
Iter 483/2441 took 2.39 seconds
Iter 484/2441 took 2.35 seconds
Iter 485/2441 took 2.31 seconds
Iter 486/2441 took 2.37 seconds
Iter 487/2441 took 2.34 seconds
Iter 488/2441 took 2.44 seconds
Iter 489/2441 took 2.38 seconds
Iter 490/2441 took 2.32 seconds
Iter 491/2441 took 2.38 seconds
Iter 492/2441 took 2.40 seconds
Iter 493/2441 took 2.39 seconds
Iter 494/2441 took 2.39 seconds
Iter 495/2441 took 2.33 seconds
Iter 496/2441 took 2.35 seconds
Iter 497/2441 took 2.31 seconds
Iter 498/2441 took 2.37 seconds
Iter 499/2441 took 2.34 seconds
Iter 500/2441 took 2.38 seconds
Iter 501/2441 took 2.46 seconds
Iter 502/2441 took 2.41 seconds
Iter 503/2441 took 2.41 seconds
Iter 504/2441 took 2.34 seconds
Iter 505/2441 took 2.37 seconds
Iter 506/2441 took 2.32 seconds
Iter 507/2441 took 2.40 seconds
Iter 508/2441 took 2.42 seconds
Iter 509/2441 took 2.37 seconds
Iter 510/2441 took 2.38 seconds
Iter 511/2441 took 2.42 seconds
Iter 512/2441 took 2.31 seconds
Iter 513/2441 took 2.35 seconds
Iter 514/2441 took 2.35 seconds
Iter 515/2441 took 2.50 seconds
Iter 516/2441 took 2.32 seconds
Iter 517/2441 took 2.33 seconds
Iter 518/2441 took 2.33 seconds
Iter 519/2441 took 2.32 seconds
Iter 520/2441 took 2.35 seconds
Iter 521/2441 took 2.44 seconds
Iter 522/2441 took 2.43 seconds
Iter 523/2441 took 2.36 seconds
Iter 524/2441 took 2.37 seconds
Iter 525/2441 took 2.38 seconds
Iter 526/2441 took 2.34 seconds
Iter 527/2441 took 2.32 seconds
Iter 528/2441 took 2.36 seconds
Iter 529/2441 took 2.34 seconds
Iter 530/2441 took 2.35 seconds
Iter 531/2441 took 2.37 seconds
Iter 532/2441 took 2.41 seconds
Iter 533/2441 took 2.39 seconds
Iter 534/2441 took 2.38 seconds
Iter 535/2441 took 2.40 seconds
Iter 536/2441 took 2.33 seconds
Iter 537/2441 took 2.34 seconds
Iter 538/2441 took 2.34 seconds
Iter 539/2441 took 2.33 seconds
Iter 540/2441 took 2.36 seconds
Iter 541/2441 took 2.38 seconds
Iter 542/2441 took 2.48 seconds
Iter 543/2441 took 2.54 seconds
Iter 544/2441 took 2.31 seconds
Iter 545/2441 took 2.36 seconds
Iter 546/2441 took 2.37 seconds
Iter 547/2441 took 2.36 seconds
Iter 548/2441 took 2.26 seconds
Iter 549/2441 took 2.42 seconds
Iter 550/2441 took 2.38 seconds
Iter 551/2441 took 2.39 seconds
Iter 552/2441 took 2.36 seconds
Iter 553/2441 took 2.39 seconds
Iter 554/2441 took 2.41 seconds
Iter 555/2441 took 2.36 seconds
Iter 556/2441 took 2.39 seconds
Iter 557/2441 took 2.33 seconds
Iter 558/2441 took 2.42 seconds
Iter 559/2441 took 2.32 seconds
Iter 560/2441 took 2.36 seconds
Iter 561/2441 took 2.32 seconds
Iter 562/2441 took 2.38 seconds
Iter 563/2441 took 2.27 seconds
Iter 564/2441 took 2.33 seconds
Iter 565/2441 took 2.44 seconds
Iter 566/2441 took 2.30 seconds
Iter 567/2441 took 2.37 seconds
Iter 568/2441 took 2.33 seconds
Iter 569/2441 took 2.35 seconds
Iter 570/2441 took 2.31 seconds
Iter 571/2441 took 2.41 seconds
Iter 572/2441 took 2.43 seconds
Iter 573/2441 took 2.41 seconds
Iter 574/2441 took 2.35 seconds
Iter 575/2441 took 2.31 seconds
Iter 576/2441 took 2.30 seconds
Iter 577/2441 took 2.31 seconds
Iter 578/2441 took 2.41 seconds
Iter 579/2441 took 2.35 seconds
Iter 580/2441 took 2.31 seconds
Iter 581/2441 took 2.42 seconds
Iter 582/2441 took 2.33 seconds
Iter 583/2441 took 2.33 seconds
Iter 584/2441 took 2.47 seconds
Iter 585/2441 took 2.41 seconds
Iter 586/2441 took 2.50 seconds
Iter 587/2441 took 2.35 seconds
Iter 588/2441 took 2.43 seconds
Iter 589/2441 took 2.38 seconds
Iter 590/2441 took 2.36 seconds
Iter 591/2441 took 2.40 seconds
Iter 592/2441 took 2.51 seconds
