wandb:         losses/value_loss ▆█▃▅▅▄▆▆▅▅▇█▇▅▂▅▃▄▂▆▅▃▃▇▇▃▄▅▅▄▆▂▅▃▃▄▁▅▄▃
wandb:                       +48 ...
wandb: 
wandb: Run summary:
wandb:                charts/SPS 7047438
wandb:      charts/learning_rate 0.0
wandb:               global_step 19988480
wandb:          losses/approx_kl 0.0
wandb:           losses/clipfrac 0
wandb:            losses/entropy 4.67373
wandb: losses/explained_variance 0.77954
wandb:      losses/old_approx_kl 0.0
wandb:        losses/policy_loss -1e-05
wandb:         losses/value_loss 333.37195
wandb:                       +48 ...
wandb: 
wandb: 🚀 View run level3_loop_056_v5_loop052_remote_nominal_soft_centerline_light_plane_20m at: https://wandb.ai/aojili77-technical-university-of-munich/ADR-PPO-Racing-Level3/runs/level3_loop_056_v5_loop052_remote_nominal_soft_centerline_light_plane_20m
wandb: ⭐️ View project at: https://wandb.ai/aojili77-technical-university-of-munich/ADR-PPO-Racing-Level3
wandb: Synced 5 W&B file(s), 0 media file(s), 0 artifact file(s) and 0 other file(s)
wandb: Find logs at: ./wandb/run-20260621_063404-level3_loop_056_v5_loop052_remote_nominal_soft_centerline_light_plane_20m/logs

Iter 497/610 took 2.98 seconds
Iter 498/610 took 2.82 seconds
Iter 499/610 took 2.84 seconds
Iter 500/610 took 2.94 seconds
Iter 501/610 took 2.84 seconds
Iter 502/610 took 2.80 seconds
Iter 503/610 took 2.81 seconds
Iter 504/610 took 2.75 seconds
Iter 505/610 took 2.73 seconds
Iter 506/610 took 2.74 seconds
Iter 507/610 took 2.71 seconds
Iter 508/610 took 2.79 seconds
Iter 509/610 took 2.78 seconds
Iter 510/610 took 2.75 seconds
Iter 511/610 took 2.73 seconds
Iter 512/610 took 2.73 seconds
Iter 513/610 took 2.67 seconds
Iter 514/610 took 2.67 seconds
Iter 515/610 took 2.76 seconds
Iter 516/610 took 2.76 seconds
Iter 517/610 took 2.81 seconds
Iter 518/610 took 2.80 seconds
Iter 519/610 took 2.81 seconds
Iter 520/610 took 2.91 seconds
