Iter 534/1373 took 3.28 seconds
Iter 535/1373 took 3.09 seconds
Iter 536/1373 took 3.07 seconds
Iter 537/1373 took 2.98 seconds
Iter 538/1373 took 3.09 seconds
Iter 539/1373 took 3.11 seconds
Iter 540/1373 took 3.38 seconds
Iter 541/1373 took 3.03 seconds
Iter 542/1373 took 3.18 seconds
Iter 543/1373 took 3.08 seconds
Iter 544/1373 took 3.20 seconds
Iter 545/1373 took 3.17 seconds
Iter 546/1373 took 2.96 seconds
Iter 547/1373 took 3.01 seconds
Iter 548/1373 took 3.01 seconds
Iter 549/1373 took 3.00 seconds
Iter 550/1373 took 3.07 seconds
Iter 551/1373 took 3.15 seconds
Iter 552/1373 took 3.03 seconds
Iter 553/1373 took 3.03 seconds
Iter 554/1373 took 3.03 seconds
Iter 555/1373 took 2.97 seconds
Iter 556/1373 took 2.95 seconds
Iter 557/1373 took 3.14 seconds
Iter 558/1373 took 3.23 seconds
Iter 559/1373 took 3.14 seconds
Iter 560/1373 took 3.24 seconds
Iter 561/1373 took 3.10 seconds
Iter 562/1373 took 3.16 seconds
Iter 563/1373 took 3.03 seconds
Iter 564/1373 took 3.02 seconds
Iter 565/1373 took 3.01 seconds
Iter 566/1373 took 3.10 seconds
Iter 567/1373 took 3.11 seconds
Iter 568/1373 took 3.27 seconds
Iter 569/1373 took 3.23 seconds
Iter 570/1373 took 3.10 seconds
Iter 571/1373 took 3.05 seconds
Iter 572/1373 took 3.03 seconds
Iter 573/1373 took 3.04 seconds
Iter 574/1373 took 2.97 seconds
Iter 575/1373 took 3.12 seconds
Iter 576/1373 took 3.19 seconds
Iter 577/1373 took 3.11 seconds
Iter 578/1373 took 3.06 seconds
Iter 579/1373 took 3.14 seconds
Iter 580/1373 took 3.20 seconds
Iter 581/1373 took 3.11 seconds
Iter 582/1373 took 3.11 seconds
Iter 583/1373 took 3.07 seconds
Iter 584/1373 took 3.06 seconds
Iter 585/1373 took 3.08 seconds
Iter 586/1373 took 3.14 seconds
Iter 587/1373 took 3.04 seconds
Iter 588/1373 took 2.97 seconds
Iter 589/1373 took 2.97 seconds
Iter 590/1373 took 2.93 seconds
Iter 591/1373 took 2.94 seconds
Iter 592/1373 took 2.93 seconds
Iter 593/1373 took 2.93 seconds
Iter 594/1373 took 2.93 seconds
Iter 595/1373 took 2.95 seconds
Iter 596/1373 took 2.94 seconds
Iter 597/1373 took 2.92 seconds
Iter 598/1373 took 2.96 seconds
Iter 599/1373 took 3.01 seconds
Iter 600/1373 took 3.01 seconds
Iter 601/1373 took 2.97 seconds
Iter 602/1373 took 3.01 seconds
Iter 603/1373 took 3.03 seconds
Iter 604/1373 took 3.04 seconds
